[2025-04-30T10:06:31.009Z] Database connection error: Encoding not recognized: 'cesu8' (searched as: 'cesu8')
[2025-04-30T10:24:50.126Z] Database connection error: Encoding not recognized: 'cesu8' (searched as: 'cesu8')
[2025-04-30T11:04:46.269Z] Database connection error: Encoding not recognized: 'cesu8' (searched as: 'cesu8')
[2025-04-30T11:07:41.163Z] Database connection error: Encoding not recognized: 'cesu8' (searched as: 'cesu8')
[2025-04-30T11:52:36.750Z] Database connection error: Encoding not recognized: 'cesu8' (searched as: 'cesu8')
[2025-04-30T11:54:29.804Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T11:57:55.870Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:02:37.879Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:05:47.643Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:10:29.387Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:10:34.503Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:25:13.372Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:27:19.477Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:30:33.128Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:33:23.914Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)
[2025-04-30T12:57:45.622Z] Database connection error: Access denied for user ''@'localhost' (using password: YES)

